,0,year,mo,1
61,Washington,2018,September,3392
0,Connecticut,2018,October,439
1,Maine,2018,October,485
2,Massachusetts,2018,October,1155
3,New Hampshire,2018,October,447
4,Rhode Island,2018,October,91
5,Vermont,2018,October,286
7,New Jersey,2018,October,2376
8,New York,2018,October,2748
9,Pennsylvania,2018,October,2768
12,Illinois,2018,October,2117
13,Indiana,2018,October,2083
14,Michigan,2018,October,2936
15,Ohio,2018,October,2167
16,Wisconsin,2018,October,1638
18,Iowa,2018,October,1452
19,Kansas,2018,October,1340
20,Minnesota,2018,October,2631
21,Missouri,2018,October,1671
22,Nebraska,2018,October,690
23,North Dakota,2018,October,342
24,South Dakota,2018,October,457
27,Delaware,2018,October,569
28,District of Columbia,2018,October,1023
29,Florida,2018,October,12123
30,Georgia,2018,October,5778
31,Maryland,2018,October,1271
32,North Carolina,2018,October,5022
33,South Carolina,2018,October,2856
34,Virginia,2018,October,2415
35,West Virginia,2018,October,221
37,Alabama,2018,October,1130
38,Kentucky,2018,October,1303
39,Mississippi,2018,October,695
40,Tennessee,2018,October,3956
42,Arkansas,2018,October,707
43,Louisiana,2018,October,1285
44,Oklahoma,2018,October,1092
45,Texas,2018,October,13241
48,Arizona,2018,October,3156
49,Colorado,2018,October,3326
50,Idaho,2018,October,1329
51,Montana,2018,October,420
52,Nevada,2018,October,1736
53,New Mexico,2018,October,423
54,Utah,2018,October,2146
55,Wyoming,2018,October,172
57,Alaska,2018,October,129
58,California,2018,October,8745
59,Hawaii,2018,October,364
60,Oregon,2018,October,2008
61,Washington,2018,October,3606
0,Connecticut,2018,November,354
1,Maine,2018,November,335
2,Massachusetts,2018,November,1023
3,New Hampshire,2018,November,232
4,Rhode Island,2018,November,80
5,Vermont,2018,November,153
7,New Jersey,2018,November,2058
8,New York,2018,November,3575
9,Pennsylvania,2018,November,1640
12,Illinois,2018,November,2494
13,Indiana,2018,November,1552
14,Michigan,2018,November,1353
15,Ohio,2018,November,1870
16,Wisconsin,2018,November,1168
18,Iowa,2018,November,759
19,Kansas,2018,November,499
20,Minnesota,2018,November,1787
21,Missouri,2018,November,1357
22,Nebraska,2018,November,740
23,North Dakota,2018,November,111
24,South Dakota,2018,November,190
27,Delaware,2018,November,548
28,District of Columbia,2018,November,662
29,Florida,2018,November,12159
30,Georgia,2018,November,4924
31,Maryland,2018,November,1477
32,North Carolina,2018,November,4571
33,South Carolina,2018,November,2718
34,Virginia,2018,November,2073
35,West Virginia,2018,November,233
37,Alabama,2018,November,1111
38,Kentucky,2018,November,792
39,Mississippi,2018,November,496
40,Tennessee,2018,November,2679
42,Arkansas,2018,November,759
43,Louisiana,2018,November,983
44,Oklahoma,2018,November,748
45,Texas,2018,November,15265
48,Arizona,2018,November,2563
49,Colorado,2018,November,3649
50,Idaho,2018,November,1138
51,Montana,2018,November,240
52,Nevada,2018,November,1632
53,New Mexico,2018,November,324
54,Utah,2018,November,1910
55,Wyoming,2018,November,133
57,Alaska,2018,November,106
58,California,2018,November,7741
59,Hawaii,2018,November,270
60,Oregon,2018,November,1824
61,Washington,2018,November,3941
0,Connecticut,2018,December,525
1,Maine,2018,December,282
2,Massachusetts,2018,December,1339
3,New Hampshire,2018,December,185
4,Rhode Island,2018,December,64
5,Vermont,2018,December,97
7,New Jersey,2018,December,1701
8,New York,2018,December,3277
9,Pennsylvania,2018,December,1630
12,Illinois,2018,December,1204
13,Indiana,2018,December,1091
14,Michigan,2018,December,981
15,Ohio,2018,December,1155
16,Wisconsin,2018,December,697
18,Iowa,2018,December,417
19,Kansas,2018,December,379
20,Minnesota,2018,December,987
21,Missouri,2018,December,654
22,Nebraska,2018,December,435
23,North Dakota,2018,December,112
24,South Dakota,2018,December,171
27,Delaware,2018,December,500
28,District of Columbia,2018,December,637
29,Florida,2018,December,11548
30,Georgia,2018,December,3316
31,Maryland,2018,December,1314
32,North Carolina,2018,December,5512
33,South Carolina,2018,December,2843
34,Virginia,2018,December,1665
35,West Virginia,2018,December,213
37,Alabama,2018,December,865
38,Kentucky,2018,December,887
39,Mississippi,2018,December,496
40,Tennessee,2018,December,2139
42,Arkansas,2018,December,789
43,Louisiana,2018,December,979
44,Oklahoma,2018,December,634
45,Texas,2018,December,14984
48,Arizona,2018,December,3166
49,Colorado,2018,December,4293
50,Idaho,2018,December,938
51,Montana,2018,December,324
52,Nevada,2018,December,1140
53,New Mexico,2018,December,349
54,Utah,2018,December,2210
55,Wyoming,2018,December,101
57,Alaska,2018,December,136
58,California,2018,December,10709
59,Hawaii,2018,December,222
60,Oregon,2018,December,1495
61,Washington,2018,December,3564
0,Connecticut,2019,January,278
1,Maine,2019,January,357
2,Massachusetts,2019,January,819
3,New Hampshire,2019,January,338
4,Rhode Island,2019,January,67
5,Vermont,2019,January,73
7,New Jersey,2019,January,1778
8,New York,2019,January,4036
9,Pennsylvania,2019,January,1353
12,Illinois,2019,January,1296
13,Indiana,2019,January,1528
14,Michigan,2019,January,1187
15,Ohio,2019,January,1095
16,Wisconsin,2019,January,726
18,Iowa,2019,January,425
19,Kansas,2019,January,428
20,Minnesota,2019,January,1352
21,Missouri,2019,January,1098
22,Nebraska,2019,January,621
23,North Dakota,2019,January,45
24,South Dakota,2019,January,182
27,Delaware,2019,January,604
28,District of Columbia,2019,January,591
29,Florida,2019,January,11190
30,Georgia,2019,January,4045
31,Maryland,2019,January,1743
32,North Carolina,2019,January,4219
33,South Carolina,2019,January,3483
34,Virginia,2019,January,2859
35,West Virginia,2019,January,287
37,Alabama,2019,January,1169
38,Kentucky,2019,January,935
39,Mississippi,2019,January,623
40,Tennessee,2019,January,2733
42,Arkansas,2019,January,643
43,Louisiana,2019,January,1133
44,Oklahoma,2019,January,740
45,Texas,2019,January,14258
48,Arizona,2019,January,2641
49,Colorado,2019,January,3026
50,Idaho,2019,January,880
51,Montana,2019,January,280
52,Nevada,2019,January,1204
53,New Mexico,2019,January,349
54,Utah,2019,January,1594
55,Wyoming,2019,January,103
57,Alaska,2019,January,90
58,California,2019,January,9373
59,Hawaii,2019,January,432
60,Oregon,2019,January,1255
61,Washington,2019,January,2875
0,Connecticut,2019,February,310
1,Maine,2019,February,380
2,Massachusetts,2019,February,816
3,New Hampshire,2019,February,161
4,Rhode Island,2019,February,70
5,Vermont,2019,February,134
7,New Jersey,2019,February,1520
8,New York,2019,February,2924
9,Pennsylvania,2019,February,1686
12,Illinois,2019,February,1229
13,Indiana,2019,February,1279
14,Michigan,2019,February,1611
15,Ohio,2019,February,1506
16,Wisconsin,2019,February,734
18,Iowa,2019,February,248
19,Kansas,2019,February,366
20,Minnesota,2019,February,1558
21,Missouri,2019,February,838
22,Nebraska,2019,February,404
23,North Dakota,2019,February,32
24,South Dakota,2019,February,124
27,Delaware,2019,February,534
28,District of Columbia,2019,February,954
29,Florida,2019,February,11099
30,Georgia,2019,February,4422
31,Maryland,2019,February,930
32,North Carolina,2019,February,5092
33,South Carolina,2019,February,2815
34,Virginia,2019,February,2610
35,West Virginia,2019,February,265
37,Alabama,2019,February,1089
38,Kentucky,2019,February,770
39,Mississippi,2019,February,410
40,Tennessee,2019,February,2502
42,Arkansas,2019,February,954
43,Louisiana,2019,February,1347
44,Oklahoma,2019,February,1101
45,Texas,2019,February,14511
48,Arizona,2019,February,2897
49,Colorado,2019,February,2676
50,Idaho,2019,February,789
51,Montana,2019,February,134
52,Nevada,2019,February,1335
53,New Mexico,2019,February,444
54,Utah,2019,February,1570
55,Wyoming,2019,February,124
57,Alaska,2019,February,88
58,California,2019,February,6228
59,Hawaii,2019,February,246
60,Oregon,2019,February,1544
61,Washington,2019,February,2284
0,Connecticut,2019,March,491
1,Maine,2019,March,618
2,Massachusetts,2019,March,1026
3,New Hampshire,2019,March,264
4,Rhode Island,2019,March,66
5,Vermont,2019,March,148
7,New Jersey,2019,March,2288
8,New York,2019,March,2699
9,Pennsylvania,2019,March,1855
12,Illinois,2019,March,1192
13,Indiana,2019,March,1642
14,Michigan,2019,March,2053
15,Ohio,2019,March,1873
16,Wisconsin,2019,March,1128
18,Iowa,2019,March,617
19,Kansas,2019,March,507
20,Minnesota,2019,March,2136
21,Missouri,2019,March,1787
22,Nebraska,2019,March,572
23,North Dakota,2019,March,86
24,South Dakota,2019,March,269
27,Delaware,2019,March,508
28,District of Columbia,2019,March,250
29,Florida,2019,March,11661
30,Georgia,2019,March,4690
31,Maryland,2019,March,1788
32,North Carolina,2019,March,5174
33,South Carolina,2019,March,2734
34,Virginia,2019,March,2496
35,West Virginia,2019,March,327
37,Alabama,2019,March,1283
38,Kentucky,2019,March,811
39,Mississippi,2019,March,585
40,Tennessee,2019,March,3877
42,Arkansas,2019,March,746
43,Louisiana,2019,March,1496
44,Oklahoma,2019,March,1279
45,Texas,2019,March,15852
48,Arizona,2019,March,3691
49,Colorado,2019,March,3078
50,Idaho,2019,March,1125
51,Montana,2019,March,316
52,Nevada,2019,March,1100
53,New Mexico,2019,March,398
54,Utah,2019,March,1751
55,Wyoming,2019,March,138
57,Alaska,2019,March,120
58,California,2019,March,8345
59,Hawaii,2019,March,247
60,Oregon,2019,March,2252
61,Washington,2019,March,4294
0,Connecticut,2019,April,721
1,Maine,2019,April,318
2,Massachusetts,2019,April,1021
3,New Hampshire,2019,April,280
4,Rhode Island,2019,April,86
5,Vermont,2019,April,179
7,New Jersey,2019,April,1900
8,New York,2019,April,3752
9,Pennsylvania,2019,April,1936
12,Illinois,2019,April,3378
13,Indiana,2019,April,2130
14,Michigan,2019,April,2035
15,Ohio,2019,April,2133
16,Wisconsin,2019,April,1967
18,Iowa,2019,April,1000
19,Kansas,2019,April,869
20,Minnesota,2019,April,2570
21,Missouri,2019,April,1107
22,Nebraska,2019,April,734
23,North Dakota,2019,April,281
24,South Dakota,2019,April,450
27,Delaware,2019,April,413
28,District of Columbia,2019,April,473
29,Florida,2019,April,14518
30,Georgia,2019,April,4440
31,Maryland,2019,April,1805
32,North Carolina,2019,April,5588
33,South Carolina,2019,April,3114
34,Virginia,2019,April,3186
35,West Virginia,2019,April,227
37,Alabama,2019,April,1500
38,Kentucky,2019,April,1245
39,Mississippi,2019,April,593
40,Tennessee,2019,April,2948
42,Arkansas,2019,April,758
43,Louisiana,2019,April,1442
44,Oklahoma,2019,April,904
45,Texas,2019,April,15895
48,Arizona,2019,April,4590
49,Colorado,2019,April,3593
50,Idaho,2019,April,1365
51,Montana,2019,April,413
52,Nevada,2019,April,1310
53,New Mexico,2019,April,484
54,Utah,2019,April,2608
55,Wyoming,2019,April,207
57,Alaska,2019,April,150
58,California,2019,April,9045
59,Hawaii,2019,April,153
60,Oregon,2019,April,1820
61,Washington,2019,April,5077
0,Connecticut,2019,May,341
1,Maine,2019,May,431
2,Massachusetts,2019,May,1069
3,New Hampshire,2019,May,251
4,Rhode Island,2019,May,107
5,Vermont,2019,May,113
7,New Jersey,2019,May,2411
8,New York,2019,May,2599
9,Pennsylvania,2019,May,1872
12,Illinois,2019,May,2094
13,Indiana,2019,May,1838
14,Michigan,2019,May,2387
15,Ohio,2019,May,1759
16,Wisconsin,2019,May,1642
18,Iowa,2019,May,1113
19,Kansas,2019,May,782
20,Minnesota,2019,May,3281
21,Missouri,2019,May,1431
22,Nebraska,2019,May,905
23,North Dakota,2019,May,314
24,South Dakota,2019,May,400
27,Delaware,2019,May,586
28,District of Columbia,2019,May,698
29,Florida,2019,May,12393
30,Georgia,2019,May,4346
31,Maryland,2019,May,2244
32,North Carolina,2019,May,7763
33,South Carolina,2019,May,3617
34,Virginia,2019,May,2761
35,West Virginia,2019,May,509
37,Alabama,2019,May,1296
38,Kentucky,2019,May,1304
39,Mississippi,2019,May,701
40,Tennessee,2019,May,4487
42,Arkansas,2019,May,945
43,Louisiana,2019,May,1303
44,Oklahoma,2019,May,980
45,Texas,2019,May,19081
48,Arizona,2019,May,4282
49,Colorado,2019,May,3653
50,Idaho,2019,May,1751
51,Montana,2019,May,367
52,Nevada,2019,May,1673
53,New Mexico,2019,May,474
54,Utah,2019,May,2799
55,Wyoming,2019,May,240
57,Alaska,2019,May,192
58,California,2019,May,9883
59,Hawaii,2019,May,866
60,Oregon,2019,May,1658
61,Washington,2019,May,4339
0,Connecticut,2019,June,336
1,Maine,2019,June,421
2,Massachusetts,2019,June,1378
3,New Hampshire,2019,June,329
4,Rhode Island,2019,June,102
5,Vermont,2019,June,118
7,New Jersey,2019,June,2715
8,New York,2019,June,3684
9,Pennsylvania,2019,June,2687
12,Illinois,2019,June,1284
13,Indiana,2019,June,2141
14,Michigan,2019,June,1832
15,Ohio,2019,June,1907
16,Wisconsin,2019,June,1514
18,Iowa,2019,June,1427
19,Kansas,2019,June,611
20,Minnesota,2019,June,2208
21,Missouri,2019,June,1131
22,Nebraska,2019,June,779
23,North Dakota,2019,June,219
24,South Dakota,2019,June,395
27,Delaware,2019,June,636
28,District of Columbia,2019,June,130
29,Florida,2019,June,10983
30,Georgia,2019,June,4056
31,Maryland,2019,June,1741
32,North Carolina,2019,June,6114
33,South Carolina,2019,June,2774
34,Virginia,2019,June,2918
35,West Virginia,2019,June,283
37,Alabama,2019,June,1395
38,Kentucky,2019,June,953
39,Mississippi,2019,June,568
40,Tennessee,2019,June,3046
42,Arkansas,2019,June,923
43,Louisiana,2019,June,1258
44,Oklahoma,2019,June,858
45,Texas,2019,June,15176
48,Arizona,2019,June,4359
49,Colorado,2019,June,3902
50,Idaho,2019,June,1222
51,Montana,2019,June,364
52,Nevada,2019,June,2230
53,New Mexico,2019,June,418
54,Utah,2019,June,2883
55,Wyoming,2019,June,181
57,Alaska,2019,June,139
58,California,2019,June,9014
59,Hawaii,2019,June,338
60,Oregon,2019,June,1283
61,Washington,2019,June,3647
0,Connecticut,2019,July,435
1,Maine,2019,July,466
2,Massachusetts,2019,July,1289
3,New Hampshire,2019,July,353
4,Rhode Island,2019,July,113
5,Vermont,2019,July,131
7,New Jersey,2019,July,2502
8,New York,2019,July,3694
9,Pennsylvania,2019,July,2146
12,Illinois,2019,July,2095
13,Indiana,2019,July,1861
14,Michigan,2019,July,1890
15,Ohio,2019,July,1839
16,Wisconsin,2019,July,1547
18,Iowa,2019,July,1042
19,Kansas,2019,July,622
20,Minnesota,2019,July,2383
21,Missouri,2019,July,1307
22,Nebraska,2019,July,416
23,North Dakota,2019,July,288
24,South Dakota,2019,July,414
27,Delaware,2019,July,624
28,District of Columbia,2019,July,997
29,Florida,2019,July,13109
30,Georgia,2019,July,4151
31,Maryland,2019,July,1279
32,North Carolina,2019,July,5746
33,South Carolina,2019,July,3091
34,Virginia,2019,July,3263
35,West Virginia,2019,July,323
37,Alabama,2019,July,1556
38,Kentucky,2019,July,1320
39,Mississippi,2019,July,679
40,Tennessee,2019,July,3696
42,Arkansas,2019,July,996
43,Louisiana,2019,July,1454
44,Oklahoma,2019,July,1107
45,Texas,2019,July,17515
48,Arizona,2019,July,3918
49,Colorado,2019,July,3848
50,Idaho,2019,July,1671
51,Montana,2019,July,319
52,Nevada,2019,July,1865
53,New Mexico,2019,July,484
54,Utah,2019,July,2207
55,Wyoming,2019,July,173
57,Alaska,2019,July,182
58,California,2019,July,9924
59,Hawaii,2019,July,270
60,Oregon,2019,July,1749
61,Washington,2019,July,4428
0,Connecticut,2019,August,376
1,Maine,2019,August,478
2,Massachusetts,2019,August,1179
3,New Hampshire,2019,August,710
4,Rhode Island,2019,August,84
5,Vermont,2019,August,183
7,New Jersey,2019,August,4085
8,New York,2019,August,3708
9,Pennsylvania,2019,August,2253
12,Illinois,2019,August,1529
13,Indiana,2019,August,2172
14,Michigan,2019,August,1644
15,Ohio,2019,August,2502
16,Wisconsin,2019,August,1635
18,Iowa,2019,August,1409
19,Kansas,2019,August,927
20,Minnesota,2019,August,3304
21,Missouri,2019,August,1710
22,Nebraska,2019,August,798
23,North Dakota,2019,August,335
24,South Dakota,2019,August,427
27,Delaware,2019,August,512
28,District of Columbia,2019,August,384
29,Florida,2019,August,15187
30,Georgia,2019,August,4342
31,Maryland,2019,August,1289
32,North Carolina,2019,August,6209
33,South Carolina,2019,August,3187
34,Virginia,2019,August,3703
35,West Virginia,2019,August,315
37,Alabama,2019,August,1470
38,Kentucky,2019,August,1303
39,Mississippi,2019,August,644
40,Tennessee,2019,August,3943
42,Arkansas,2019,August,2195
43,Louisiana,2019,August,1497
44,Oklahoma,2019,August,1173
45,Texas,2019,August,19405
48,Arizona,2019,August,4027
49,Colorado,2019,August,3161
50,Idaho,2019,August,1747
51,Montana,2019,August,347
52,Nevada,2019,August,1404
53,New Mexico,2019,August,468
54,Utah,2019,August,2821
55,Wyoming,2019,August,183
57,Alaska,2019,August,186
58,California,2019,August,8843
59,Hawaii,2019,August,307
60,Oregon,2019,August,1919
61,Washington,2019,August,4133
0,Connecticut,2019,September,478
1,Maine,2019,September,360
2,Massachusetts,2019,September,869
3,New Hampshire,2019,September,252
4,Rhode Island,2019,September,137
5,Vermont,2019,September,109
7,New Jersey,2019,September,3424
8,New York,2019,September,2873
9,Pennsylvania,2019,September,1741
12,Illinois,2019,September,1419
13,Indiana,2019,September,1790
14,Michigan,2019,September,2202
15,Ohio,2019,September,2339
16,Wisconsin,2019,September,1661
18,Iowa,2019,September,1037
19,Kansas,2019,September,699
20,Minnesota,2019,September,1880
21,Missouri,2019,September,1339
22,Nebraska,2019,September,912
23,North Dakota,2019,September,570
24,South Dakota,2019,September,426
27,Delaware,2019,September,537
28,District of Columbia,2019,September,369
29,Florida,2019,September,15067
30,Georgia,2019,September,4420
31,Maryland,2019,September,1445
32,North Carolina,2019,September,5589
33,South Carolina,2019,September,2816
34,Virginia,2019,September,2403
35,West Virginia,2019,September,256
37,Alabama,2019,September,1423
38,Kentucky,2019,September,1158
39,Mississippi,2019,September,593
40,Tennessee,2019,September,3329
42,Arkansas,2019,September,906
43,Louisiana,2019,September,1436
44,Oklahoma,2019,September,1010
45,Texas,2019,September,16452
48,Arizona,2019,September,3302
49,Colorado,2019,September,3299
50,Idaho,2019,September,1194
51,Montana,2019,September,371
52,Nevada,2019,September,1378
53,New Mexico,2019,September,362
54,Utah,2019,September,2508
55,Wyoming,2019,September,163
57,Alaska,2019,September,193
58,California,2019,September,9920
59,Hawaii,2019,September,370
60,Oregon,2019,September,2013
61,Washington,2019,September,4121
0,Connecticut,2019,October,1136
1,Maine,2019,October,439
2,Massachusetts,2019,October,1195
3,New Hampshire,2019,October,252
4,Rhode Island,2019,October,102
5,Vermont,2019,October,145
7,New Jersey,2019,October,3786
8,New York,2019,October,3976
9,Pennsylvania,2019,October,1903
12,Illinois,2019,October,1746
13,Indiana,2019,October,1960
14,Michigan,2019,October,2298
15,Ohio,2019,October,1870
16,Wisconsin,2019,October,1763
18,Iowa,2019,October,1699
19,Kansas,2019,October,893
20,Minnesota,2019,October,3547
21,Missouri,2019,October,1808
22,Nebraska,2019,October,610
23,North Dakota,2019,October,203
24,South Dakota,2019,October,688
27,Delaware,2019,October,519
28,District of Columbia,2019,October,773
29,Florida,2019,October,15381
30,Georgia,2019,October,5876
31,Maryland,2019,October,1522
32,North Carolina,2019,October,6325
33,South Carolina,2019,October,3044
34,Virginia,2019,October,1933
35,West Virginia,2019,October,242
37,Alabama,2019,October,1403
38,Kentucky,2019,October,1265
39,Mississippi,2019,October,668
40,Tennessee,2019,October,4778
42,Arkansas,2019,October,951
43,Louisiana,2019,October,1489
44,Oklahoma,2019,October,1072
45,Texas,2019,October,19861
48,Arizona,2019,October,4032
49,Colorado,2019,October,4219
50,Idaho,2019,October,1610
51,Montana,2019,October,268
52,Nevada,2019,October,1699
53,New Mexico,2019,October,598
54,Utah,2019,October,2869
55,Wyoming,2019,October,162
57,Alaska,2019,October,130
58,California,2019,October,10176
59,Hawaii,2019,October,672
60,Oregon,2019,October,2405
61,Washington,2019,October,3768
